colID,logFC,fracExprIN,fracExprOUT,rank.sum,p.value,cluster,gene
1405,2417,3.57213901628065,0.901098901098901,0.800995024875622,80122,2.89516625346942e-25,1,St8sia4
1773,2997,3.21092590494686,0.904761904761905,0.810945273631841,80124,2.91125962130431e-25,1,Treml2
1720,2912,2.53827129835656,0.967032967032967,0.925373134328358,80132.5,3.11138368652021e-25,1,Snx10
275,463,6.1196014179432,0.879120879120879,0.72636815920398,80065.5,3.56191227502883e-25,1,Epb4.1l4b
2560,4380,5.64568569717341,0.772893772893773,0.507462686567164,79805,3.75110350485287e-25,1,Notch1
1162,2015,8.48606592366043,0.575091575091575,0.149253731343284,78269,5.0595539061244e-25,1,Gbp8
1076,1871,6.49384897219921,0.886446886446886,0.766169154228856,79940.5,9.59105715000969e-25,1,Il12a
1226,2121,6.5135631218733,0.926739926739927,0.920398009950249,79887,1.72836875787221e-24,1,Flt3
277,466,7.40006171756765,0.659340659340659,0.303482587064677,78952,1.94891506867599e-24,1,Shisa8
496,830,3.34237991270719,0.703296703296703,0.333333333333333,79116,2.5823816755813e-24,1,Iigp1
457,764,2.56076465555693,0.882783882783883,0.661691542288557,79672,4.84812506878263e-24,1,Cers4
2397,4051,3.37773193368782,0.868131868131868,0.706467661691542,79604,8.33028962447334e-24,1,Jak3
1874,3163,2.24706868286882,1,1,79662,8.43389145828822e-24,1,Fam65b
1939,3262,5.44465108626488,0.747252747252747,0.45771144278607,79261.5,8.59382671083334e-24,1,Mctp1
2155,3631,6.22180763443093,0.794871794871795,0.641791044776119,79512,8.63124860642673e-24,1,Mir99ahg
1101,1917,3.48883640380087,0.985347985347985,0.995024875621891,79548,1.84454619000669e-23,1,Igfbp4
2212,3742,2.12599790070991,0.919413919413919,0.90547263681592,79526,2.07545476208282e-23,1,Pdzk1ip1
1355,2331,5.62981431338538,0.926739926739927,0.880597014925373,79519,2.16050462797515e-23,1,Satb1
549,930,7.52764773332252,0.835164835164835,0.63681592039801,79358.5,3.10181932217516e-23,1,Wfdc17
899,1522,7.26895132948589,0.637362637362637,0.278606965174129,78429.5,3.28122345810811e-23,1,Casp12
934,1581,4.45888194589066,0.934065934065934,0.895522388059702,79455,3.38273781462046e-23,1,Soat1
1180,2043,6.73562929929791,0.875457875457875,0.721393034825871,79366,4.53236115084827e-23,1,Sla
471,783,8.42651976259765,0.542124542124542,0.134328358208955,77421,5.88878947788346e-23,1,Serpina3f
2463,4193,2.9897895857737,0.904761904761905,0.766169154228856,79341,6.28980492813752e-23,1,Rasal3
529,893,2.82434154313371,0.904761904761905,0.796019900497512,79342,6.50751208361785e-23,1,Cd84
2553,4364,5.08261999930121,0.842490842490842,0.701492537313433,79286,6.58835426978959e-23,1,Plxdc2
2314,3924,5.39575082696752,0.791208791208791,0.646766169154229,79124.5,1.23573295073407e-22,1,Pstpip1
1853,3138,1.93430364465098,1,1,79266,1.24631419641661e-22,1,Ebf1
2701,4635,4.42433467075957,0.95970695970696,0.945273631840796,79260.5,1.28693610705088e-22,1,Igf1
1712,2899,6.52182094296931,0.684981684981685,0.393034825870647,78619,1.47435800968267e-22,1,Sdc4
1510,2590,7.83585558736037,0.688644688644689,0.383084577114428,78604,1.53527407511386e-22,1,Eya2
759,1294,8.14628942872636,0.655677655677656,0.328358208955224,78395,1.578500950039e-22,1,Abcg3
1799,3048,4.50441280767396,0.835164835164835,0.656716417910448,79079.5,2.22170610959121e-22,1,Adamts10
2202,3729,3.61370444657659,0.93040293040293,0.865671641791045,79168.5,2.29015999420603e-22,1,Mdga1
